scenario_id,suite,pattern,n_valid,delta_3h,beta_true,noise_sd,phi,quant_step,shape,scenario_seed,n_total,n_computable,computable_rate,trendup_count,trendup_rate,trendup_ci_low,trendup_ci_high,p_reject_rate,mean_beta_TS,mean_CF,status_counts,null_fpr_pass
S0001,core_linear,FULL16,16,-1,-0.333333333333,0.25,0,0,linear,4536960147913088742,10000,9862,0.9862,0,0,0,0.000389369607927,0,-0.333209417183,0.927998034376,"{""NA_INVALID_CORRECTION_FACTOR"": 138, ""OK"": 9862}",
S0002,core_linear,FULL16,16,-1,-0.333333333333,0.25,0.3,0,linear,6584668511039139606,10000,9949,0.9949,0,0,0,0.000385966041616,0,-0.33314502602,0.968911197105,"{""NA_INVALID_CORRECTION_FACTOR"": 51, ""OK"": 9949}",
S0003,core_linear,FULL16,16,-1,-0.333333333333,0.25,0.6,0,linear,3318859685439270047,10000,9964,0.9964,0,0,0,0.000385385224731,0,-0.331832824887,1.09076934685,"{""NA_INVALID_CORRECTION_FACTOR"": 36, ""OK"": 9964}",
S0004,core_linear,FULL16,16,-1,-0.333333333333,0.25,0.9,0,linear,15052091455400899701,10000,9988,0.9988,3,0.000300360432519,0.000102154791327,0.000882794665813,0.000300360432519,-0.333024918965,1.28749983199,"{""NA_INVALID_CORRECTION_FACTOR"": 12, ""OK"": 9988}",
S0005,core_linear,FULL16,16,-1,-0.333333333333,1,0,0,linear,8372808381634825192,10000,9864,0.9864,45,0.00456204379562,0.00341138879666,0.00609843756327,0.00456204379562,-0.335661626673,0.926929686222,"{""NA_INVALID_CORRECTION_FACTOR"": 136, ""OK"": 9864}",
S0006,core_linear,FULL16,16,-1,-0.333333333333,1,0.3,0,linear,14224997549219873715,10000,9964,0.9964,181,0.0181653954235,0.0157227824958,0.0209793922259,0.0181653954235,-0.338481326523,0.964284703293,"{""NA_INVALID_CORRECTION_FACTOR"": 36, ""OK"": 9964}",
S0007,core_linear,FULL16,16,-1,-0.333333333333,1,0.6,0,linear,15716756007755058184,10000,9984,0.9984,526,0.0526842948718,0.0484716898401,0.0572409872357,0.0526842948718,-0.333844662392,1.09092559729,"{""NA_INVALID_CORRECTION_FACTOR"": 16, ""OK"": 9984}",
S0008,core_linear,FULL16,16,-1,-0.333333333333,1,0.9,0,linear,10054266223523188586,10000,9983,0.9983,917,0.0918561554643,0.0863464230112,0.0976798746325,0.0918561554643,-0.330068848053,1.30477328265,"{""NA_INVALID_CORRECTION_FACTOR"": 17, ""OK"": 9983}",
S0009,core_linear,FULL16,16,0,0,0.25,0,0,linear,11031705250046363813,10000,9863,0.9863,648,0.0657000912501,0.0609776466745,0.070760707919,0.0657000912501,-0.000627692904542,0.923490095027,"{""NA_INVALID_CORRECTION_FACTOR"": 137, ""OK"": 9863}",0
S0010,core_linear,FULL16,16,0,0,0.25,0.3,0,linear,16137854161738313782,10000,9959,0.9959,1037,0.104126920374,0.0982802430173,0.110278878134,0.104126920374,6.35021867381e-06,0.969242699691,"{""NA_INVALID_CORRECTION_FACTOR"": 41, ""OK"": 9959}",0
S0011,core_linear,FULL16,16,0,0,0.25,0.6,0,linear,13213277998391466469,10000,9966,0.9966,1756,0.176199076861,0.168844257648,0.183803422192,0.176199076861,-0.000375791674495,1.0980015224,"{""NA_INVALID_CORRECTION_FACTOR"": 34, ""OK"": 9966}",0
S0012,core_linear,FULL16,16,0,0,0.25,0.9,0,linear,16584368684362297674,10000,9990,0.999,2647,0.264964964965,0.25640256577,0.273708050918,0.264964964965,-0.000364682052822,1.28926578443,"{""NA_INVALID_CORRECTION_FACTOR"": 10, ""OK"": 9990}",0
S0013,core_linear,FULL16,16,0,0,1,0,0,linear,8774050340263384954,10000,9870,0.987,635,0.064336372847,0.0596634837955,0.0693482553673,0.064336372847,-0.00452475570987,0.922546917171,"{""NA_INVALID_CORRECTION_FACTOR"": 130, ""OK"": 9870}",0
S0014,core_linear,FULL16,16,0,0,1,0.3,0,linear,11996465676464223838,10000,9955,0.9955,1065,0.106981416374,0.101060573283,0.113205460336,0.106981416374,-0.00440888608985,0.968706505694,"{""NA_INVALID_CORRECTION_FACTOR"": 45, ""OK"": 9955}",0
S0015,core_linear,FULL16,16,0,0,1,0.6,0,linear,3597013985986438184,10000,9969,0.9969,1722,0.172735479988,0.165441362237,0.180281717094,0.172735479988,0.00281855167956,1.099970462,"{""NA_INVALID_CORRECTION_FACTOR"": 31, ""OK"": 9969}",0
S0016,core_linear,FULL16,16,0,0,1,0.9,0,linear,12351620883238664647,10000,9977,0.9977,2703,0.270923123183,0.262291694023,0.279730888055,0.270923123183,0.00749888535103,1.28476503679,"{""NA_INVALID_CORRECTION_FACTOR"": 23, ""OK"": 9977}",0
S0017,core_linear,FULL16,16,0.5,0.166666666667,0.25,0,0,linear,10985201081379524762,10000,9860,0.986,7198,0.730020283976,0.721169156164,0.738692249652,0.730020283976,0.165693811573,0.918008155937,"{""NA_INVALID_CORRECTION_FACTOR"": 140, ""OK"": 9860}",
S0018,core_linear,FULL16,16,0.5,0.166666666667,0.25,0.3,0,linear,14002520883159263979,10000,9959,0.9959,6989,0.701777286876,0.692716043592,0.710682928138,0.701777286876,0.166541260972,0.969319553657,"{""NA_INVALID_CORRECTION_FACTOR"": 41, ""OK"": 9959}",
S0019,core_linear,FULL16,16,0.5,0.166666666667,0.25,0.6,0,linear,14680152637911297888,10000,9972,0.9972,6632,0.665062174087,0.655736783301,0.674260441854,0.665062174087,0.165345967237,1.09252720432,"{""NA_INVALID_CORRECTION_FACTOR"": 28, ""OK"": 9972}",
S0020,core_linear,FULL16,16,0.5,0.166666666667,0.25,0.9,0,linear,10429233514691769737,10000,9979,0.9979,7639,0.765507565888,0.757093637268,0.773717156618,0.765507565888,0.168481347591,1.29616953428,"{""NA_INVALID_CORRECTION_FACTOR"": 21, ""OK"": 9979}",
S0021,core_linear,FULL16,16,0.5,0.166666666667,1,0,0,linear,10803964724766426516,10000,9868,0.9868,1644,0.166599108229,0.159377277823,0.174080413182,0.166599108229,0.168789180914,0.921744293583,"{""NA_INVALID_CORRECTION_FACTOR"": 132, ""OK"": 9868}",
S0022,core_linear,FULL16,16,0.5,0.166666666667,1,0.3,0,linear,11785201630285687099,10000,9957,0.9957,2188,0.219744903083,0.211720633527,0.227985336789,0.219744903083,0.16813811887,0.967805046732,"{""NA_INVALID_CORRECTION_FACTOR"": 43, ""OK"": 9957}",
S0023,core_linear,FULL16,16,0.5,0.166666666667,1,0.6,0,linear,17278473683348906803,10000,9971,0.9971,2824,0.283221341891,0.274462430392,0.292147222719,0.283221341891,0.169048022709,1.09130064477,"{""NA_INVALID_CORRECTION_FACTOR"": 29, ""OK"": 9971}",
S0024,core_linear,FULL16,16,0.5,0.166666666667,1,0.9,0,linear,4826958971880696217,10000,9980,0.998,3848,0.385571142285,0.376067620956,0.395162720649,0.385571142285,0.162970413046,1.29521454306,"{""NA_INVALID_CORRECTION_FACTOR"": 20, ""OK"": 9980}",
S0025,core_linear,FULL16,16,1,0.333333333333,0.25,0,0,linear,8874117503195202195,10000,9884,0.9884,9847,0.996256576285,0.99484473878,0.997282819176,0.996256576285,0.332947682386,0.921007617193,"{""NA_INVALID_CORRECTION_FACTOR"": 116, ""OK"": 9884}",
S0026,core_linear,FULL16,16,1,0.333333333333,0.25,0.3,0,linear,17561805138399065762,10000,9951,0.9951,9793,0.984122198774,0.981472725037,0.986398038135,0.984122198774,0.332255402057,0.964691912905,"{""NA_INVALID_CORRECTION_FACTOR"": 49, ""OK"": 9951}",
