case_id,case_type,t_pred_TAI,T_REC_TAI,relative_to_t_pred_hr,HARPNUM,NOAA_AR,SHRGT45_percent,QUALITY,query
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.14_19:48:00_TAI,-3.0,377,11158,59.597,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.14_20:00:00_TAI,-2.8,377,11158,59.587,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.14_20:12:00_TAI,-2.6,377,11158,59.966,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.14_20:24:00_TAI,-2.4,377,11158,60.043,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.14_20:36:00_TAI,-2.2,377,11158,60.143,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.14_20:48:00_TAI,-2.0,377,11158,60.021,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.14_21:00:00_TAI,-1.8,377,11158,60.451,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.14_21:12:00_TAI,-1.6,377,11158,60.389,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.14_21:24:00_TAI,-1.4,377,11158,60.559,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.14_21:36:00_TAI,-1.2,377,11158,60.423,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.14_21:48:00_TAI,-1.0,377,11158,60.389,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.14_22:00:00_TAI,-0.8,377,11158,59.872,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.14_22:12:00_TAI,-0.6,377,11158,59.833,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.14_22:24:00_TAI,-0.4,377,11158,59.824,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.14_22:36:00_TAI,-0.2,377,11158,59.492,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.14_22:48:00_TAI,0.0,377,11158,59.584,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.14_23:00:00_TAI,0.2,377,11158,59.545,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.14_23:12:00_TAI,0.4,377,11158,59.188,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.14_23:24:00_TAI,0.6,377,11158,58.624,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.14_23:36:00_TAI,0.8,377,11158,58.726,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.14_23:48:00_TAI,1.0,377,11158,58.591,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.15_00:00:00_TAI,1.2,377,11158,58.78,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.15_00:12:00_TAI,1.4,377,11158,58.831,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.15_00:24:00_TAI,1.6,377,11158,58.786,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.15_00:36:00_TAI,1.8,377,11158,58.282,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.15_00:48:00_TAI,2.0,377,11158,58.239,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.15_01:00:00_TAI,2.2,377,11158,58.641,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.15_01:12:00_TAI,2.4,377,11158,58.464,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.15_01:24:00_TAI,2.6,377,11158,58.203,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.15_01:36:00_TAI,2.8,377,11158,58.161,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.15_01:48:00_TAI,3.0,377,11158,58.42,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.15_02:00:00_TAI,3.2,377,11158,58.106,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.15_02:12:00_TAI,3.4,377,11158,57.34,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.15_02:24:00_TAI,3.6,377,11158,57.186,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,2011.02.14_22:48:00_TAI,2011.02.15_02:36:00_TAI,3.8,377,11158,56.561,0x00000000,hmi.sharp_cea_720s[377][2011.02.14_19:48:00_TAI/9h@12m]
