flare_event_id,NOAA_AR,T_REC_UTC,original_slope,future6h_mplus_ids,future6h_mplus_count,disposition,final_control_source
NOAA12673_X9.3_20170906,12673,2017-09-06T02:35:23Z,-0.201446,,0,RETAINED_FINAL_CONTROL,same-AR main-gate record
NOAA12673_X9.3_20170906,12673,2017-09-06T02:47:23Z,-0.183257,,0,RETAINED_FINAL_CONTROL,same-AR main-gate record
NOAA12673_X9.3_20170906,12673,2017-09-06T02:59:23Z,-0.11114,201709060852,1,EXCLUDED_FUTURE6H_MPLUS,
NOAA12673_X9.3_20170906,12673,2017-09-06T03:11:23Z,-0.082243,201709060852,1,EXCLUDED_FUTURE6H_MPLUS,
NOAA12673_X9.3_20170906,12673,2017-09-06T03:23:23Z,-0.186316,201709060852,1,EXCLUDED_FUTURE6H_MPLUS,
NOAA12673_X9.3_20170906,12673,2017-09-06T03:35:23Z,-0.322301,201709060852,1,EXCLUDED_FUTURE6H_MPLUS,
NOAA12673_X9.3_20170906,12673,2017-09-06T03:47:23Z,-0.360735,201709060852,1,EXCLUDED_FUTURE6H_MPLUS,
NOAA12673_X9.3_20170906,12673,2017-09-06T03:59:23Z,-0.365588,201709060852,1,EXCLUDED_FUTURE6H_MPLUS,
NOAA12673_X9.3_20170906,12673,2017-09-06T04:11:23Z,-0.344463,201709060852,1,EXCLUDED_FUTURE6H_MPLUS,
NOAA12673_X9.3_20170906,12673,2017-09-06T04:23:23Z,-0.257324,201709060852,1,EXCLUDED_FUTURE6H_MPLUS,
NOAA12673_X9.3_20170906,12673,2017-09-06T04:35:23Z,-0.252309,201709060852,1,EXCLUDED_FUTURE6H_MPLUS,
NOAA12673_X9.3_20170906,12673,2017-09-06T04:47:23Z,-0.352713,201709060852,1,EXCLUDED_FUTURE6H_MPLUS,
NOAA12673_X9.3_20170906,12673,2017-09-06T04:59:23Z,-0.253419,201709060852,1,EXCLUDED_FUTURE6H_MPLUS,
NOAA12673_X9.3_20170906,12673,2017-09-06T05:11:23Z,-0.335941,201709060852,1,EXCLUDED_FUTURE6H_MPLUS,
NOAA12673_X9.3_20170906,12673,2017-09-06T05:23:23Z,-0.357566,201709060852,1,EXCLUDED_FUTURE6H_MPLUS,
NOAA12673_X9.3_20170906,12673,2017-09-06T05:35:23Z,-0.412794,201709060852,1,EXCLUDED_FUTURE6H_MPLUS,
NOAA12673_X9.3_20170906,12673,2017-09-06T05:47:23Z,-0.551103,201709060852,1,EXCLUDED_FUTURE6H_MPLUS,
